Security Code,Company_Name,Security Id,Security Name,Status,,,
500780,Zuari Industries Limited,ZUARIIND,Zuari Industries Ltd,Active,,,
500790,Nestle India Ltd.,NESTLEIND,NESTLE INDIA LTD.,Active,,,
500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,Tata Consumer Products Ltd,Active,,,
500820,Asian Paints Ltd.,ASIANPAINT,ASIAN PAINTS LTD.,Active,,,
500825,Britannia Industries Ltd.,BRITANNIA,BRITANNIA INDUSTRIES LTD.,Active,,,
500830,Colgate-Palmolive (India) Ltd.,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,Active,,,
500840,EIH Ltd,EIHOTEL,EIH LTD.,Active,,,
500850,Indian Hotels Co. Ltd,INDHOTEL,INDIAN HOTELS CO.LTD.,Active,,,
500870,Castrol India Ltd,CASTROLIND,CASTROL INDIA LTD.,Active,,,
500875,ITC Ltd,ITC,ITC LTD.,Active,,,
500877,Apollo Tyres Ltd,APOLLOTYRE,APOLLO TYRES LTD.,Active,,,
500878,Ceat Ltd.,CEATLTD,CEAT LTD.,Active,,,
500890,Modi Rubber Ltd.,MODIRUBBER,MODI RUBBER LTD.,Active,,,
500940,Finolex Industries Ltd.,FINPIPE,FINOLEX INDUSTRIES LTD.,Active,,,
501110,Sunrise Industrial Traders Ltd.,SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.,Active,,,
501111,Gold Rock Investments Ltd.,ZGOLDINV,GOLD ROCK INVESTMENTS LTD.,Active,,,
501144,Peoples Investments Ltd.,PEOPLIN,PEOPLES INVESTMENTS LTD.,Active,,,
501148,Dalal Street Investments Ltd.,DSINVEST,DALAL STREET INVESTMENTS LTD.,Active,,,
501150,Centrum Capital Limited,CENTRUM,CENTRUM CAPITAL LTD.,Active,,,
501242,TCI Finance Limited,TCIFINANCE,TCI FINANCE LTD.,Active,,,
501261,Kratos Energy & Infrastructure Limited,KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.,Active,,,
501270,ANTARIKSH INDUSTRIES LIMITED,ANTARIKSH,Antariksh Industries Ltd,Active,,,
501295,Industrial Investment Trust Ltd.,IITL,INDUSTRIAL INVESTMENT TRUST LTD.,Active,,,
501298,Industrial & Prudential Inv. Co. Lt,INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,Active,,,
501301,Tata Investment Corporation Ltd.,TATAINVEST,TATA INVESTMENT CORPORATION LTD.,Active,,,
501311,Jayabharat Credit Ltd.,JAYBHCR,JAYABHARAT CREDIT LTD.-$,Active,,,
501314,PRISMX GLOBAL VENTURES LIMITED,PRISMX,Prismx Global Ventures Ltd,Active,,,
501343,Motor & General Finance (M.G.F.) Lt,MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.,Active,,,
501351,Rapid Investments Ltd.,RAPIDIN,RAPID INVESTMENTS LTD.,Active,,,
501370,Walchand Peoplefirst Limited,WALCHPF,WALCHAND PEOPLEFIRST LTD.,Active,,,
501386,Swastik Safe Deposit & Invest. Ltd.,ZSWASTSA,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.,Active,,,
501391,W.H. Brady & Co. Ltd.,WHBRADY,W.H.BRADY & CO.LTD.,Active,,,
501421,TechNVision Ventures Limited,TECHNVISN,TECHNVISION VENTURES LTD.,Active,,,
501423,Shaily Engineering Plastics Ltd.,SHAILY,SHAILY ENGINEERING PLASTICS LTD.,Active,,,
501425,Bombay Burmah Trading Corpn. Ltd.,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,Active,,,
